file_stem,INTRO_mtld,INTRO_sentence_length,BODY_mtld,BODY_sentence_length,DISCUSSION_mtld,DISCUSSION_sentence_length,CONCLUSION_mtld,CONCLUSION_sentence_length,OTHER_mtld,OTHER_sentence_length
21-To body or not to body__ Gender performativity and posthumanism in the actor-network of Jeanet,91.1812749003984,30.742857142857144,,,,,76.99418604651163,29.53846153846154,64.71845161049981,20.941360153256706
22-Civilizationism_ Secularism_ and Irony in Patience Agbabi_s _Joined-Up Writing_,,,,,,,,,89.14309828721083,26.795214861864473
22-Navigating neurotechnology and astrobiology in Richard Powers_s Bewilderment,,,,,,,,,64.83480979380954,18.270220588235293
22-The significance of Osip Mandelstam for Paul Celan,,,,,,,,,46.530433010956905,17.444444444444443
23-Empathy_ curiosity_ and critique_ an AI-assisted mapping of non-academic reception of Asian Am,,,,,135.32501014573612,26.802507836990596,129.65489913544667,28.157894736842106,131.47190709696366,24.257763975155278
23-Practical Alienation_ George Eliot_s Philosophical Experiments in Silas Marner _1861_,103.70227751162707,23.50515463917526,85.89720415840637,25.103741496598637,,,105.25,21.36842105263158,,
23-Scalar Anglosphere_ Wasteocene Waters and Vulnerable Bodies in Chioma Okereke_s Water Baby,97.91220727781015,27.46153846153846,,,,,,,80.06592054227966,21.825675003502873
24-Revisiting Soft Power Through the Translation of Chinese Science Fiction_ A Non-Confrontationa,92.93176734269213,23.30757575757576,,,,,84.83568801996462,35.888888888888886,98.93131325895928,22.48016420361248
24-Staging the state of exception_ William le Queux and the campaign for emergency powers in Brit,107.14285714285714,27.333333333333332,,,,,100.50792380876186,27.652173913043477,88.1814642560894,19.603549171964524
24-The Mother-Daughter Plot in Toni Morrison_s God Help the Child,79.51477671679739,20.85185185185185,,,,,82.01849112426035,26.444444444444443,73.30484816704237,21.547619047619047
25-Forgetting to remember_ Amnesia as Metaphor in Chinese North American Literature,137.9139303298412,21.511627906976745,,,,,141.76925208937405,26.0,97.49320876907872,18.147598236386138
25-Special Worlds_ Pastoral Elegy in Stephen Sexton_s If All the World and Love Were Young,,,,,,,,,69.24760734619976,29.85809106151326
25-Surviving marriage narratively. Storytelling through women_s friendships in Mary McCarthy_s Th,,,,,,,73.63914805862207,25.555555555555557,63.90850663375023,23.38595341105642
26-Event_ Catastrophe and Crisis in Don DeLillo_s The Silence_ _The Wrong Kind of Normal_,96.82110332749562,31.15625,,,,,87.72356020942408,26.11111111111111,78.40403060113796,19.48472958585318
26-Paratextual Mediation and Narrative Reconstruction_ An Analysis of Footnotes in Sydney Owenson,139.86271160551962,26.6,,,,,200.0,19.6,107.70137380938321,18.2392253136934
26-Wilde avec Foucault_ technologies of the self in Epistola,,,,,,,,,72.73465406068331,29.144550264550265
27-Understanding Russell Atkins_s Poetry through His Plays,123.94912600205991,21.660714285714285,,,,,89.77352062045719,23.09090909090909,68.40933100234636,22.42873725319022
27-Why Britain Chooses Brexit_ Post-Imperial Affects in Julian Barnes_ Fiction and Brexlits,,,,,,,153.65098918685575,28.083333333333332,128.36085321106825,28.280202844774273
27-_Sweet Mephistopheles_ tell me__ desire between the scholar and the devil in Christopher Marlo,102.16459778007578,35.2,,,,,68.94634711250654,22.236842105263158,68.62963519513221,14.09566002707053
28-The Sandcastle_ _investiture of freedom_ in Levinas and disciplined freedom in Murdoch,61.68602044476327,24.121951219512194,,,,,62.14455482583202,19.166666666666668,56.08577389291231,22.30922354401987
28-_We_re All Just Playing into Stories Created Before Our Time__ Fictional Female Serial Killers,,,,,,,126.84407428112814,21.61904761904762,114.37991293893333,26.761589134677944
28-__It_s Growl You May_ But go You Must__ The Untapped Potential of the Sailor_s Chantey_,,,,,,,,,73.04339438826685,21.362006512006513
29-Anthropomorphism in Professional Crocodile and Agamben_s _man-animal_,97.65506926952142,24.806451612903224,,,,,41.90414416134055,19.105882352941176,56.151815249491186,17.212233445566778
29-Lateral Composition and Posthuman Community in Kazuo Ishiguro_s Klara and the Sun,152.38222787093838,29.17142857142857,,,,,181.07051282051282,31.210526315789473,157.7874442725955,28.160751705915917
29-_By Any Means Necessary__ Corporate Capitalism and Pathological Narcissism in Gary Shteyngart_,,,,,,,172.9006176122266,47.11764705882353,91.4113951355107,27.839647460167164
