category,relpath,size_human,bytes,lines,rows_est,mtime
grobid_tei,grobid_tei/14-Narrating Panarchy in the Anthropocene_ The Adaptive _Short Story_ Cycle in Rebecca Campbell_s.tei.xml,80.1KB,82071,,,2026-02-25T22:53:42
grobid_tei,grobid_tei/14-Reading for the future_ _stanbul Ansiklopedisi_ a collection without origin.tei.xml,81.2KB,83162,,,2026-02-25T22:53:44
grobid_tei,grobid_tei/14-_THIS IS A PAID ADVERTISEMENT__ advertising poetics in Yugen.tei.xml,106.8KB,109314,,,2026-02-25T22:53:47
grobid_tei,grobid_tei/15-Bald krumme Linien_ generative aesthetics and the Bensian legacy.tei.xml,65.1KB,66712,,,2026-02-25T22:53:49
grobid_tei,grobid_tei/15-Fiction_s critique_ Gray_s Poor Things and the conduct of sensibility.tei.xml,71.4KB,73113,,,2026-02-25T22:53:52
grobid_tei,grobid_tei/15-Religious Hypocrisy and Moral Failure in James Baldwin_s Go Tell It on the Mountain and Khaled.tei.xml,58.6KB,60018,,,2026-02-25T22:53:54
grobid_tei,grobid_tei/15-Writing and translating across power differentials_ Paratextual _re_framing of three Chinese d.tei.xml,83.8KB,85783,,,2026-02-25T22:53:57
grobid_tei,grobid_tei/15-_Aiding the Greek Rebel Infidels__ Insights from the Ottoman Archives on Lord Byron_s Missolon.tei.xml,70.7KB,72415,,,2026-02-25T22:53:59
grobid_tei,grobid_tei/16-Information poetics_ communication and combinatorics in concrete poetry.tei.xml,61.2KB,62704,,,2026-02-25T22:54:01
grobid_tei,grobid_tei/16-The hopeful possibilities of _sideways_ time_ Louise Erdrich_s Future Home of the Living God.tei.xml,68.5KB,70102,,,2026-02-25T22:54:03
grobid_tei,grobid_tei/16-Tom McCarthy_ The Making of Incarnation_ and the Infrastructure of Virtuality.tei.xml,77.9KB,79791,,,2026-02-25T22:54:06
grobid_tei,grobid_tei/16-Untwining the Threads in John Banville_s Birchwood_ False Shadows_ Bogus Plots and What Lies B.tei.xml,112.7KB,115451,,,2026-02-25T22:54:09
grobid_tei,grobid_tei/16-Women petrified_ how and when women turn to stone from Shakespeare to Byatt.tei.xml,67.7KB,69284,,,2026-02-25T22:54:11
grobid_tei,grobid_tei/17-Care_ critique_ and contemporary literature_ the offerings of Sarah Moss_s Tidal Zone.tei.xml,98.9KB,101245,,,2026-02-25T22:54:14
grobid_tei,grobid_tei/17-Entropy_ melody_ beauty_ composing with information theory.tei.xml,49.2KB,50380,,,2026-02-25T22:54:15
grobid_tei,grobid_tei/17-The Self and Its Social_Ecological Other in E. M. Forster_s Howards End_ An Allergic Reading.tei.xml,66.1KB,67728,,,2026-02-25T22:54:18
grobid_tei,grobid_tei/17-_We_re Still Inside the Fucking paradigm___ Flagging the Crisis of Attention in Eleanor Catton.tei.xml,61.4KB,62860,,,2026-02-25T22:54:20
grobid_tei,grobid_tei/18-A site for self-fashioning_ everyday life_ expatriate women_ and formative locale in Ann Bridg.tei.xml,97.5KB,99813,,,2026-02-25T22:54:23
grobid_tei,grobid_tei/18-Monstrous Reproduction_ Monstrous Evolution_ and Extinction Anxiety in Steve Alten_s MEG Books.tei.xml,74.7KB,76511,,,2026-02-25T22:54:26
grobid_tei,grobid_tei/18-New Evidence About The Strolling Actor George Jolly _1613_ca. 1683_.tei.xml,72.5KB,74261,,,2026-02-25T22:54:28
grobid_tei,grobid_tei/19-Disneyland and Its Discontents_ J.G. Ballard and the Commodification of Dissent.tei.xml,49.1KB,50298,,,2026-02-25T22:54:30
grobid_tei,grobid_tei/19-Revisiting OE holm-wudu in The Dream of the Rood_ The Salvific Ship and the Name of Mary.tei.xml,105.9KB,108398,,,2026-02-25T22:54:33
grobid_tei,grobid_tei/19-_Words without meaning__ deconstructing language and the Woolfian Saying in Between the Acts.tei.xml,70.4KB,72110,,,2026-02-25T22:54:35
grobid_tei,grobid_tei/20-Echoes of Silence and the Story of Many_ The Transmission of Intergenerational Trauma in Eliza.tei.xml,65.6KB,67159,,,2026-02-25T22:54:38
grobid_tei,grobid_tei/20-Metabolic Dystopia in Mo Yan_s The Republic of Wine.tei.xml,84.6KB,86610,,,2026-02-25T22:54:41
grobid_tei,grobid_tei/20-Reimagining refuge_ dual landscapes and the covert narrative of ecological belonging in Terry .tei.xml,88.6KB,90694,,,2026-02-25T22:54:43
